QUEIROZ FILHO	PDT	103.943 ELEITO
SERGIO AGUIAR	PDT	100.925 ELEITO
SALMITO	PDT	91.293  ELEITO
ROMEU ALDIGUERI	PDT	89.060  ELEITO
EVANDRO LEITÃO 	PDT	83.486  ELEITO
GUILHERME LANDIM	PDT	83.215  ELEITO
ZEZINHO ALBUQUERQUE	PDT	79.489  ELEITO
DR SARTO	PDT	68.937  ELEITO
MARCOS SOBREIRA	PDT	67.012  ELEITO
DRA.SILVANA	PR	61.244  ELEITO
JOÃO JAIME	DEM	56.661  ELEITO
OSMAR BAQUIT	PDT	53.114  ELEITO
TIN GOMES	PDT	53.050  ELEITO
JEOVÁ MOTA	PDT	52.299  ELEITO
NEZINHO FARIAS	PDT	49.482  ELEITO
ANTONIO GRANJA	PDT	49.148  ELEITO
DEP FERNANDO HUGO - DR. HUGO	PP	49.111  ELEITO
BRUNO PEDROSA	PP	48.927  ELEITO
LEONARDO PINHEIRO	PP	48.713  ELEITO